user_id,gender,age,archetype,personality_openness,personality_conscientiousness,personality_extraversion,personality_agreeableness,personality_neuroticism,religion_religiosity,religion_spirituality,religion_secular_lean,values_family_priority,values_career_priority,values_adventure_seeking,values_stability_need,values_social_justice,education_level,education_field,content_news_frequency,content_book_reader,content_podcast_listener,content_social_media_usage,content_streaming_hours,friends_group_size_pref,friends_loyalty_importance,friends_social_frequency,friends_new_people_openness,media_genres,perspectives_political_leaning,perspectives_open_to_debate,perspectives_global_mindset,perspectives_local_focus,preferences_indoor_outdoor,preferences_city_nature,preferences_routine_spontaneous,preferences_planning_impulsive,substances_alcohol_frequency,substances_caffeine_dependency,substances_dietary_flexibility,self_life_satisfaction,self_confidence_level,self_growth_mindset,self_awareness,traits_humor,traits_creativity,traits_empathy,traits_ambition,traits_authenticity,background_hometown_size,background_relationship_status,background_has_kids,background_birth_order,available_days,pref_cuisine_italian,pref_cuisine_japanese,pref_cuisine_mexican,pref_cuisine_american,pref_cuisine_indian,pref_cuisine_thai,pref_cuisine_mediterranean
U0023,M,24,intellectual,7,7,3,4,1,1,3,6,6,6,5,5,5,Master's,Arts & Humanities,7,7,7,4,7,4,7,3,7,Comedy|Drama|Sci-Fi|Romance|Documentary|Animation,2,7,7,4,4,3,5,3,5,7,5,6,6,7,6,6,5,5,7,7,Rural,Open Relationship,No,Only Child,Monday|Wednesday|Saturday|Sunday,6,4,1,5,3,4,7
U0024,F,37,social,5,4,4,7,4,6,5,7,5,4,5,3,2,Some College,Health & Medicine,5,1,6,5,5,6,5,7,7,Action|Romance|Horror|Documentary|Reality,2,6,7,4,5,4,5,4,6,5,2,6,7,4,4,5,3,7,5,7,Suburban,Single,No,Only Child,Friday|Sunday,7,2,7,5,1,2,2
U0025,M,29,social,5,5,6,6,5,3,4,6,6,5,2,6,5,Bachelor's,Business,4,3,3,7,6,6,5,7,7,Comedy|Drama|Sci-Fi|Documentary|Thriller|Animation,1,6,4,1,7,6,5,5,7,7,6,5,6,6,2,7,6,7,7,6,Suburban,Single,No,Only Child,Wednesday|Thursday,2,4,5,3,7,6,4
U0026,F,27,creative,7,3,4,5,6,1,6,5,3,5,5,2,6,Bachelor's,STEM,7,6,6,3,4,4,5,5,7,Sci-Fi|Documentary|Thriller|Animation,1,5,7,4,4,7,6,5,5,6,6,5,5,5,7,5,7,6,7,7,Suburban,Dating,No,Oldest,Monday|Thursday,7,7,4,7,5,3,7
U0027,M,30,intellectual,7,6,3,6,6,2,7,6,5,7,4,4,7,Master's,STEM,6,6,6,2,5,4,7,5,4,Comedy|Drama|Action|Sci-Fi|Romance|Thriller,3,7,7,5,3,4,3,4,2,4,5,4,5,7,7,6,6,6,7,7,Suburban,Single,No,Youngest,Tuesday|Saturday,7,1,7,7,6,2,2
U0028,F,27,social,7,5,7,4,4,3,3,3,5,4,6,3,5,Bachelor's,Other,4,4,4,7,7,6,6,7,7,Comedy|Drama|Romance|Reality,4,2,4,4,4,5,6,3,4,5,6,7,6,6,6,6,4,7,5,5,Suburban,Dating,Yes,Youngest,Monday|Sunday,1,1,6,3,6,6,1
U0029,M,23,traditional,4,7,4,5,4,7,7,1,7,6,3,7,3,Bachelor's,Social Sciences,4,5,4,5,4,3,7,5,5,Comedy|Documentary|Thriller|Animation,7,4,4,5,3,6,1,1,2,5,2,3,6,3,3,3,3,7,6,7,Urban,Open Relationship,No,Oldest,Monday|Wednesday|Friday|Saturday,5,4,2,3,7,4,6
U0030,M,29,adventurer,5,3,6,7,4,1,5,5,4,6,6,1,3,Master's,STEM,4,6,7,3,5,5,4,7,5,Comedy|Action|Horror|Reality,3,7,6,3,6,6,7,3,7,2,6,5,7,4,6,7,3,5,5,7,Rural,Single,No,Oldest,Monday|Wednesday|Saturday|Sunday,3,6,5,3,1,5,3
U0031,M,26,traditional,7,5,7,6,4,6,5,1,5,7,2,7,2,High School,Arts & Humanities,6,7,3,1,5,5,6,5,3,Drama|Horror|Documentary|Animation|Reality,7,3,2,6,2,3,1,2,1,7,5,5,5,5,6,6,5,6,1,7,Rural,Single,No,Only Child,Tuesday|Saturday|Sunday,2,2,6,6,5,1,3
U0032,F,27,intellectual,7,4,2,5,5,2,3,7,3,4,5,5,7,Master's,Law & Policy,7,7,6,3,6,3,6,5,5,Comedy|Drama|Documentary|Thriller,3,7,7,3,5,4,3,3,5,6,4,4,7,5,7,7,3,7,7,7,Urban,Dating,No,Oldest,Wednesday|Friday|Saturday|Sunday,6,3,1,5,7,6,7
U0033,M,32,adventurer,7,3,6,5,1,3,4,2,1,5,6,4,4,Some College,Arts & Humanities,2,4,7,3,4,5,6,7,7,Action|Sci-Fi|Romance|Documentary|Thriller,3,3,5,3,5,5,7,6,5,3,6,5,7,7,3,5,3,4,6,4,Suburban,Single,Yes,Youngest,Thursday|Friday|Saturday|Sunday,3,4,3,4,2,5,4
U0034,M,31,professional,5,7,3,6,5,3,3,3,5,7,4,7,5,PhD/Professional,Business,7,4,6,5,4,4,6,6,4,Comedy|Horror|Documentary,2,7,7,2,4,4,3,3,4,5,4,5,6,6,5,6,7,4,7,7,Suburban,Single,No,Middle,Monday|Wednesday|Thursday|Saturday,4,6,2,4,2,4,3
U0035,F,28,professional,4,7,4,5,3,1,3,4,3,7,2,7,5,PhD/Professional,Health & Medicine,6,6,6,6,5,4,5,4,4,Action|Romance|Documentary|Thriller|Animation|Reality,7,7,3,2,4,6,4,3,4,6,5,3,7,5,6,7,5,5,7,7,Urban,Dating,No,Only Child,Friday|Sunday,6,2,2,7,4,3,4
U0036,F,31,creative,7,2,4,4,4,5,5,4,4,6,5,3,6,Some College,Arts & Humanities,6,5,4,3,7,6,5,7,6,Drama|Sci-Fi|Horror|Documentary|Animation,3,6,7,3,4,7,7,6,5,4,7,5,6,7,6,7,7,6,7,7,Small Town,Single,No,Only Child,Tuesday|Wednesday|Friday|Saturday,2,5,5,6,7,4,5
U0037,M,34,intellectual,5,7,2,3,2,2,3,3,5,7,6,4,6,Bachelor's,STEM,7,7,7,2,4,4,7,5,6,Comedy|Drama|Action|Sci-Fi|Documentary|Thriller,2,7,7,3,6,5,3,3,4,7,5,5,7,7,7,6,6,7,7,7,Urban,Dating,No,Oldest,Thursday|Friday|Sunday,6,5,4,5,2,6,5
U0038,M,29,adventurer,7,3,7,6,4,1,4,2,3,5,7,3,6,Master's,Business,4,6,4,3,7,5,7,5,7,Comedy|Drama|Action|Documentary,3,6,7,4,7,6,7,4,6,4,6,6,6,6,4,6,6,4,5,6,Suburban,Single,No,Middle,Monday|Sunday,2,4,6,1,6,3,3
U0039,F,22,traditional,2,7,4,7,4,6,6,2,7,7,1,7,3,Some College,Business,3,7,3,4,4,6,7,4,4,Comedy|Thriller|Animation|Reality,5,4,6,7,3,5,3,1,3,7,6,4,5,4,6,7,5,7,4,6,Urban,Single,No,Oldest,Tuesday|Sunday,3,6,5,6,4,2,7
U0040,F,34,social,3,5,7,6,2,3,5,4,5,4,5,6,4,Some College,Law & Policy,4,1,4,6,6,7,4,7,7,Comedy|Action|Animation,3,2,7,5,7,6,7,5,6,5,4,7,3,5,7,7,7,7,6,5,Suburban,Open Relationship,No,Oldest,Monday|Tuesday|Wednesday|Thursday,1,7,6,5,2,4,7
U0041,F,31,adventurer,7,4,7,7,3,1,4,3,1,4,6,1,6,Some College,STEM,4,6,7,4,7,5,7,6,7,Action|Sci-Fi|Thriller,5,4,7,3,4,7,7,7,4,4,4,7,5,7,4,3,5,5,7,7,Suburban,Single,No,Oldest,Monday|Sunday,4,3,1,6,3,6,4
U0042,F,21,social,6,3,6,7,5,3,2,4,4,3,3,3,3,Some College,Social Sciences,4,3,5,7,4,7,7,7,7,Comedy|Drama|Action,4,6,5,5,6,6,4,3,4,5,6,5,7,4,4,6,3,7,7,6,Suburban,Dating,No,Oldest,Tuesday|Friday,5,5,7,5,3,5,6
U0043,F,23,adventurer,7,4,6,5,2,2,5,2,3,4,5,1,4,Some College,Social Sciences,6,6,4,4,3,6,4,6,7,Sci-Fi|Horror|Reality,1,3,5,4,4,2,6,7,7,3,5,7,4,5,5,7,4,5,3,5,Suburban,Dating,No,Youngest,Thursday|Sunday,4,5,6,2,6,5,7
U0044,M,33,professional,4,7,5,5,2,1,3,7,4,7,5,4,7,PhD/Professional,STEM,6,7,5,7,5,5,6,5,7,Sci-Fi|Horror|Thriller,4,2,4,4,3,5,5,1,4,4,6,6,7,5,7,6,6,5,7,5,Suburban,Single,No,Oldest,Wednesday|Thursday,6,7,7,1,1,6,3
U0045,F,34,intellectual,6,6,3,4,2,2,4,5,4,6,5,5,5,Bachelor's,Social Sciences,7,7,6,3,4,1,7,3,6,Action|Sci-Fi|Romance|Documentary|Animation|Reality,2,7,6,4,6,4,3,5,5,5,2,4,6,6,7,4,4,5,7,4,Suburban,Dating,No,Middle,Monday|Tuesday,1,7,3,3,6,6,4
U0046,M,33,traditional,4,7,5,5,4,6,6,1,7,6,5,6,4,Bachelor's,Health & Medicine,7,4,2,2,4,2,7,6,4,Comedy|Drama|Action|Horror|Thriller|Animation,7,4,6,5,2,3,3,3,4,7,2,7,7,6,7,3,3,6,6,5,Suburban,Single,Yes,Only Child,Wednesday|Friday|Saturday,4,6,3,2,7,1,6
U0047,M,30,intellectual,7,5,1,5,3,2,6,6,4,6,6,6,7,Bachelor's,STEM,6,7,7,4,3,2,7,3,5,Sci-Fi|Romance|Documentary|Thriller,3,7,7,4,4,5,1,4,4,7,4,4,6,5,7,5,7,5,6,4,Suburban,Open Relationship,No,Middle,Tuesday|Saturday,4,4,5,4,1,7,4
U0048,M,30,social,5,5,7,6,1,3,5,4,3,2,5,3,4,Some College,Social Sciences,6,5,4,7,6,7,5,7,6,Comedy|Action|Sci-Fi|Romance|Horror|Thriller|Animation,1,7,6,3,5,6,6,6,6,7,5,5,7,5,5,7,6,6,3,7,Urban,Single,No,Only Child,Monday|Tuesday|Wednesday|Saturday,7,1,2,7,6,1,2
U0049,F,31,social,4,3,7,4,3,3,4,4,7,5,4,4,5,Bachelor's,Other,4,3,3,7,7,7,5,7,7,Comedy|Action|Thriller|Animation,3,6,6,7,5,2,3,5,7,4,5,7,5,4,3,7,7,5,5,7,Suburban,Dating,Yes,Only Child,Monday|Friday|Saturday,2,1,4,3,7,2,3
U0050,M,32,intellectual,7,7,2,7,3,4,5,4,6,6,6,3,7,Some College,Other,7,7,7,4,2,3,6,4,3,Drama|Action|Sci-Fi|Romance|Horror|Documentary|Thriller,2,6,6,3,4,4,1,1,4,6,5,4,5,7,6,6,7,7,7,7,Urban,Open Relationship,Yes,Oldest,Monday|Friday|Saturday,4,3,3,7,1,4,4
U0051,M,26,professional,4,6,7,6,2,1,3,5,5,6,5,7,6,Master's,Business,6,5,6,7,3,4,6,4,3,Drama|Romance|Documentary|Thriller,4,5,6,3,5,4,5,1,5,7,4,7,7,3,7,2,4,7,6,4,Rural,Single,No,Middle,Tuesday|Thursday|Sunday,5,2,5,5,1,7,4
U0052,F,22,creative,5,3,7,3,5,4,6,4,2,4,5,1,7,Bachelor's,Social Sciences,5,6,5,5,6,5,5,7,6,Sci-Fi|Horror|Documentary|Animation,2,4,6,2,4,5,5,7,7,7,4,5,4,6,5,7,6,7,7,7,Small Town,Open Relationship,No,Middle,Tuesday|Friday|Saturday,4,7,7,7,5,7,5
U0053,M,23,professional,6,6,6,6,3,4,3,4,5,7,4,4,4,Master's,STEM,4,7,7,4,2,3,5,5,5,Comedy|Sci-Fi,6,4,3,2,3,4,3,2,5,5,5,7,6,7,6,5,4,7,7,6,Suburban,Open Relationship,Yes,Middle,Monday|Tuesday|Friday|Sunday,5,7,3,1,3,6,7
U0054,M,21,professional,4,7,7,6,2,6,3,7,4,7,5,7,6,Master's,STEM,7,5,5,5,5,4,7,7,4,Romance|Documentary|Thriller,3,5,5,3,5,6,3,1,2,6,2,7,7,7,7,5,5,6,7,4,Suburban,Open Relationship,No,Only Child,Wednesday|Thursday,4,6,6,6,2,7,5
U0055,F,34,traditional,3,7,3,6,1,7,6,1,6,5,5,6,2,Some College,Health & Medicine,2,5,7,4,3,4,7,4,5,Comedy|Action|Sci-Fi|Horror|Animation,6,4,3,7,4,3,3,1,2,4,2,6,4,3,2,5,4,7,4,4,Small Town,Open Relationship,No,Youngest,Wednesday|Friday|Saturday,1,3,7,7,4,5,7
U0056,M,21,professional,5,7,3,4,4,5,3,4,6,6,4,7,4,PhD/Professional,Social Sciences,5,4,7,6,4,6,6,7,4,Documentary|Thriller,7,7,5,6,5,7,1,4,5,7,5,6,7,7,6,6,6,6,7,5,Suburban,Single,No,Oldest,Thursday|Friday|Saturday|Sunday,3,5,6,1,5,6,1
U0057,M,26,adventurer,6,3,6,4,3,4,5,5,1,4,6,1,4,Bachelor's,Health & Medicine,6,6,6,1,5,5,5,4,6,Comedy|Action|Horror|Documentary|Reality,3,6,3,3,6,7,7,7,4,2,5,7,7,7,6,6,4,5,7,5,Urban,Dating,No,Oldest,Wednesday|Friday|Sunday,6,6,2,4,2,5,4
U0058,M,32,intellectual,7,6,3,4,1,3,3,7,4,6,6,6,6,Some College,Business,6,7,7,4,3,2,7,6,6,Drama|Horror|Documentary,2,7,6,2,5,5,5,4,4,5,4,7,5,7,7,5,7,5,6,6,Suburban,Single,Yes,Middle,Monday|Tuesday|Thursday,4,1,2,2,3,4,5
U0059,F,24,adventurer,7,4,7,4,3,1,6,5,3,4,5,1,6,Master's,Arts & Humanities,5,4,7,3,4,5,4,4,7,Comedy|Drama|Action|Documentary|Reality,2,4,4,1,7,7,7,6,5,3,5,7,6,6,4,7,3,3,6,7,Suburban,Prefer Not to Say,No,Middle,Wednesday|Saturday,2,5,6,3,2,7,3
U0060,F,36,intellectual,5,7,3,6,6,1,2,6,5,5,5,7,4,Master's,STEM,7,6,7,4,4,2,6,6,5,Comedy|Drama|Romance|Thriller,3,7,7,3,3,5,5,3,3,6,7,6,3,7,7,3,7,6,7,6,Urban,Dating,No,Middle,Friday|Saturday|Sunday,1,5,3,2,3,1,7
U0061,F,27,social,5,4,5,5,6,5,4,4,5,6,5,4,6,Bachelor's,Social Sciences,4,5,3,7,6,7,3,6,6,Comedy|Action|Romance|Thriller|Reality,2,5,6,4,5,4,4,7,5,7,5,6,7,7,5,6,5,7,6,6,Rural,Single,No,Youngest,Monday|Wednesday|Thursday|Sunday,4,5,5,7,1,2,5
U0062,M,21,intellectual,7,6,3,6,2,1,4,5,3,6,6,5,6,Bachelor's,Arts & Humanities,7,7,7,2,3,2,6,4,7,Comedy|Drama|Thriller,1,6,7,5,4,6,1,1,3,7,3,1,6,7,6,4,6,6,6,7,Rural,Single,No,Oldest,Friday|Saturday,7,2,5,6,3,7,1
U0063,M,25,creative,7,3,5,4,5,2,6,1,3,5,5,4,4,Some College,STEM,5,6,5,4,4,5,7,5,7,Drama|Sci-Fi|Documentary|Animation,3,6,5,5,4,5,7,6,5,4,7,7,7,7,7,6,7,6,5,7,Suburban,Dating,No,Oldest,Monday|Tuesday,7,2,6,2,6,5,2
U0064,F,23,social,3,5,7,4,3,4,5,2,5,5,5,4,4,Bachelor's,Business,6,2,4,7,4,4,6,6,5,Comedy|Drama|Action|Romance|Documentary|Reality,2,4,5,3,6,6,3,4,5,5,6,7,7,2,4,7,3,7,5,6,Suburban,Single,No,Middle,Wednesday|Friday|Sunday,1,5,5,1,4,1,6
U0065,M,25,intellectual,6,7,3,6,2,1,4,6,4,7,7,5,7,PhD/Professional,Health & Medicine,7,6,7,4,6,4,5,4,3,Drama|Action|Sci-Fi|Thriller,4,6,7,5,7,4,4,2,6,6,7,6,4,5,7,4,7,7,5,7,Suburban,Single,No,Oldest,Monday|Sunday,5,5,2,6,7,4,2
U0066,M,25,social,5,4,7,7,4,4,5,3,5,5,6,3,3,Master's,Other,5,1,5,7,7,4,5,7,5,Comedy|Drama|Action|Romance|Reality,3,4,4,4,4,5,4,4,7,6,3,7,7,7,6,6,6,6,5,6,Urban,Open Relationship,No,Middle,Tuesday|Sunday,1,7,3,6,7,3,6
U0067,F,32,adventurer,5,3,6,5,2,1,4,5,3,5,7,1,6,Bachelor's,STEM,4,5,7,4,5,6,3,6,5,Comedy|Drama|Action|Sci-Fi|Documentary|Thriller|Reality,2,6,3,5,7,4,7,7,5,3,7,6,6,7,5,6,3,4,6,4,Small Town,Open Relationship,No,Oldest,Tuesday|Friday,2,2,2,3,1,5,5
U0068,F,25,creative,5,4,5,4,4,4,5,2,5,3,6,4,5,Bachelor's,STEM,6,5,5,4,7,6,5,5,4,Drama|Action|Horror|Documentary,2,5,7,2,5,4,4,7,5,6,5,6,7,6,5,5,7,6,6,7,Small Town,Open Relationship,No,Middle,Monday|Tuesday|Sunday,3,7,5,4,6,2,1
U0069,M,29,adventurer,7,5,6,5,2,5,3,4,4,5,5,1,4,Master's,Business,1,5,5,5,6,5,4,6,7,Comedy|Drama|Action|Sci-Fi|Thriller|Reality,3,7,5,3,7,5,7,7,4,4,5,5,6,7,6,6,6,5,4,6,Urban,Single,No,Middle,Tuesday|Wednesday|Saturday,3,1,6,4,5,1,3
U0070,M,26,professional,4,7,5,5,1,4,4,5,5,7,3,5,4,Bachelor's,Other,6,5,7,6,5,4,5,5,5,Romance|Documentary|Thriller,3,7,6,3,2,4,4,4,4,6,3,6,7,5,4,5,5,3,7,6,Urban,Single,No,Only Child,Monday|Tuesday|Wednesday|Sunday,5,1,7,6,3,4,5
U0071,M,36,creative,7,4,7,5,4,4,6,4,3,4,6,3,4,Master's,Social Sciences,4,5,3,5,7,2,3,4,6,Drama|Romance|Documentary|Thriller|Animation,4,6,5,3,5,4,4,3,7,6,5,6,5,7,6,5,7,6,7,7,Urban,Single,Yes,Oldest,Saturday|Sunday,1,6,3,4,1,2,1
U0072,F,42,intellectual,6,7,1,6,2,2,4,7,3,7,5,5,6,Master's,Other,6,7,7,3,4,4,7,3,6,Drama|Action|Sci-Fi|Romance|Horror|Documentary|Animation,1,7,7,2,4,3,3,6,3,5,5,6,5,7,7,2,6,5,7,4,Small Town,Single,No,Oldest,Tuesday|Thursday|Saturday,2,2,1,3,1,1,3
U0073,F,28,adventurer,4,4,6,7,2,2,3,3,3,4,7,3,6,Bachelor's,Business,3,5,7,4,4,6,5,5,7,Drama|Action|Documentary|Thriller|Animation|Reality,3,3,6,3,5,7,7,6,4,4,6,5,1,7,5,6,5,5,5,5,Suburban,Open Relationship,No,Oldest,Monday|Tuesday|Saturday,5,3,7,6,1,2,3
U0074,F,21,creative,7,4,5,5,4,1,7,7,6,2,7,4,4,Master's,Arts & Humanities,5,5,7,4,5,5,6,5,7,Drama|Action|Sci-Fi|Documentary|Animation,2,5,6,4,5,7,5,5,6,5,5,6,5,6,2,5,7,3,5,7,Suburban,Single,No,Only Child,Tuesday|Thursday|Friday,2,1,1,1,1,3,6
U0075,F,26,creative,7,7,6,4,4,2,4,4,5,2,7,4,4,Bachelor's,Health & Medicine,4,7,6,4,6,4,4,2,7,Comedy|Drama|Action|Sci-Fi|Thriller|Animation,2,7,6,2,5,4,7,3,4,4,7,5,4,7,7,7,7,7,7,6,Suburban,Open Relationship,No,Youngest,Friday|Sunday,6,6,5,5,1,4,2
